date,rain_in,rain_mm
2011-09-24,0.01,0.254
2011-09-25,1e-4,0.00254
2011-09-26,0.4506,11.44524
2011-09-27,0,0
2011-09-28,0,0
2011-09-29,0.05,1.27
2011-09-30,0,0
2011-10-01,0,0
2011-10-02,0,0
2011-10-03,0,0
2011-10-04,0,0
2011-10-05,0,0
2011-10-06,0,0
2011-10-07,0,0
2011-10-08,0,0
2011-10-09,0,0
2011-10-10,0,0
2011-10-11,0,0
2011-10-12,0,0
2011-10-13,0.42050000000000004,10.6807
2011-10-14,0,0
2011-10-15,0,0
2011-10-16,0,0
2011-10-17,0,0
2011-10-18,0.050100000000000006,1.27254
2011-10-19,0.1207,3.0657799999999997
2011-10-20,0.12090000000000001,3.07086
2011-10-21,0,0
2011-10-22,0,0
2011-10-23,0,0
2011-10-24,0,0
2011-10-25,0,0
2011-10-26,0,0
2011-10-27,0.15080000000000002,3.8303200000000004
2011-10-28,0.7103,18.04162
2011-10-29,0,0
2011-10-30,0,0
2011-10-31,0,0
2011-11-01,0,0
2011-11-02,0,0
2011-11-03,0.8003,20.32762
2011-11-04,0.0102,0.25908
2011-11-05,0,0
2011-11-06,0,0
2011-11-07,0,0
2011-11-08,0.19,4.826
2011-11-09,0.0505,1.2827
2011-11-10,0,0
2011-11-11,0,0
2011-11-12,0,0
2011-11-13,0,0
2011-11-14,0,0
2011-11-15,1.8302,46.48708
2011-11-16,1.6907,42.94378
2011-11-17,0,0
2011-11-18,0,0
2011-11-19,0,0
2011-11-20,1.6801,42.67453999999999
2011-11-21,1.2905,32.7787
2011-11-22,0.1106,2.80924
2011-11-23,0.0903,2.29362
2011-11-24,0,0
2011-11-25,0,0
2011-11-26,0,0
2011-11-27,1.8506,47.00524
2011-11-28,1.8807,47.76978
2011-11-29,0.0637,1.61798
2011-11-30,0.0208,0.5283199999999999
2011-12-01,0,0
2011-12-02,0,0
2011-12-03,0,0
2011-12-04,0,0
2011-12-05,2.1107,53.611779999999996
2011-12-06,0.7614,19.33956
2011-12-07,0.1714,4.35356
2011-12-08,0,0
2011-12-09,0,0
2011-12-10,0,0
2011-12-11,0,0
2011-12-12,0,0
2011-12-13,6.000000000000001e-4,0.01524
2011-12-14,0,0
2011-12-15,0.1202,3.05308
2011-12-16,0.5603,14.23162
2011-12-17,0,0
2011-12-18,0,0
2011-12-19,0,0
2011-12-20,0.27030000000000004,6.865620000000001
2011-12-21,0.23020000000000002,5.84708
2011-12-22,0.6601,16.76654
2011-12-23,0.0202,0.51308
2011-12-24,0,0
2011-12-25,0,0
2011-12-26,0,0
2011-12-27,1.521,38.633399999999995
2011-12-28,0.12,3.0479999999999996
2011-12-29,0,0
2011-12-30,0,0
2011-12-31,0,0
2012-01-01,0,0
2012-01-02,0,0
2012-01-03,1e-4,0.00254
2012-01-04,0,0
2012-01-05,0,0
2012-01-06,0,0
2012-01-07,0.020300000000000002,0.5156200000000001
2012-01-08,0,0
2012-01-09,0.4001,10.16254
2012-01-10,0.0102,0.25908
2012-01-11,3.9406000000000003,100.09124
2012-01-12,0.0419,1.06426
2012-01-13,0.0016,0.04064
2012-01-14,0,0
2012-01-15,0,0
2012-01-16,0.0205,0.5206999999999999
2012-01-17,1.6806999999999999,42.68977999999999
2012-01-18,0,0
2012-01-19,0,0
2012-01-20,0,0
2012-01-21,0.9907,25.16378
2012-01-22,0.08,2.032
2012-01-23,2.3802,60.45707999999999
2012-01-24,0,0
2012-01-25,0.07020000000000001,1.7830800000000002
2012-01-26,0.3905,9.9187
2012-01-27,0.6407,16.27378
2012-01-28,0,0
2012-01-29,0,0
2012-01-30,0,0
2012-01-31,0,0
2012-02-01,0.7605,19.316699999999997
2012-02-02,0.38,9.652
2012-02-03,0,0
2012-02-04,0.5905,14.9987
2012-02-05,3.0000000000000003e-4,0.00762
2012-02-06,0,0
2012-02-07,0,0
2012-02-08,0.0106,0.26924
2012-02-09,0,0
2012-02-10,0.0407,1.03378
2012-02-11,0.0316,0.80264
2012-02-12,0,0
2012-02-13,0,0
2012-02-14,0.1814,4.60756
2012-02-15,3.0000000000000003e-4,0.00762
2012-02-16,0.5603,14.23162
2012-02-17,0,0
2012-02-18,0,0
2012-02-19,0.9804,24.90216
2012-02-20,0,0
2012-02-21,0.01,0.254
2012-02-22,0.4102,10.41908
2012-02-23,0,0
2012-02-24,0,0
2012-02-25,0,0
2012-02-26,0,0
2012-02-27,0,0
2012-02-28,0,0
2012-02-29,0.8903,22.613619999999997
2012-03-01,0.0101,0.25654
2012-03-02,0.2603,6.611619999999999
2012-03-03,0,0
2012-03-04,0,0
2012-03-05,3.0000000000000003e-4,0.00762
2012-03-06,0,0
2012-03-07,0,0
2012-03-08,2.1601,54.86653999999999
2012-03-09,0.3001,7.622539999999999
2012-03-10,0,0
2012-03-11,0,0
2012-03-12,0.020900000000000002,0.53086
2012-03-13,0,0
2012-03-14,0,0
2012-03-15,1.1104,28.204159999999998
2012-03-16,0.3803,9.65962
2012-03-17,0.1002,2.54508
2012-03-18,3.0000000000000003e-4,0.00762
2012-03-19,0,0
2012-03-20,0,0
2012-03-21,0,0
2012-03-22,0.4104,10.424159999999999
2012-03-23,0.0402,1.02108
2012-03-24,0.5702,14.483080000000001
2012-03-25,0,0
2012-03-26,0,0
2012-03-27,0,0
2012-03-28,0,0
2012-03-29,0,0
2012-03-30,0,0
2012-03-31,0,0
2012-04-01,0,0
2012-04-02,0,0
2012-04-03,0,0
2012-04-04,0.0201,0.51054
2012-04-05,1.7102,43.43908
2012-04-06,0.23,5.842
2012-04-07,0,0
2012-04-08,0,0
2012-04-09,0,0
2012-04-10,0,0
2012-04-11,0,0
2012-04-12,0,0
2012-04-13,0,0
2012-04-14,0,0
2012-04-15,0,0
2012-04-16,0.2303,5.84962
2012-04-17,0.1804,4.58216
2012-04-18,0.0102,0.25908
2012-04-19,0,0
2012-04-20,0,0
2012-04-21,1.1503,29.21762
2012-04-22,0.01,0.254
2012-04-23,0,0
2012-04-24,0,0
2012-04-25,4e-4,0.01016
2012-04-26,0,0
2012-04-27,1.0601,26.92654
2012-04-28,1e-4,0.00254
2012-04-29,0,0
2012-04-30,0,0
2012-05-01,0,0
2012-05-02,0,0
2012-05-03,2e-4,0.00508
2012-05-04,0,0
2012-05-05,0.4201,10.670539999999999
2012-05-06,0.15009999999999998,3.8125399999999994
2012-05-07,1e-4,0.00254
2012-05-08,0,0
2012-05-09,2e-4,0.00508
2012-05-10,0,0
2012-05-11,0,0
2012-05-12,0.0903,2.29362
2012-05-13,4.1808,106.19231999999998
2012-05-14,0.5402,13.721079999999999
2012-05-15,0,0
2012-05-16,0,0
2012-05-17,0.01,0.254
2012-05-18,0,0
2012-05-19,0,0
2012-05-20,0.18,4.571999999999999
2012-05-21,1e-4,0.00254
2012-05-22,0,0
2012-05-23,0,0
2012-05-24,0,0
2012-05-25,0,0
2012-05-26,0,0
2012-05-27,0,0
2012-05-28,1e-4,0.00254
2012-05-29,2.94,74.67599999999999
2012-05-30,0.01,0.254
2012-05-31,0,0
2012-06-01,0.9407,23.89378
2012-06-02,0,0
2012-06-03,0,0
2012-06-04,0.0502,1.27508
2012-06-05,0.0103,0.26161999999999996
2012-06-06,0,0
2012-06-07,0,0
2012-06-08,0,0
2012-06-09,0,0
2012-06-10,0.0803,2.0396199999999998
2012-06-11,0.1005,2.5527
2012-06-12,0.03,0.7619999999999999
2012-06-13,0,0
2012-06-14,0,0
2012-06-15,1e-4,0.00254
2012-06-16,0.0207,0.5257799999999999
2012-06-17,0,0
2012-06-18,0,0
2012-06-19,0,0
2012-06-20,0,0
2012-06-21,0,0
2012-06-22,0,0
2012-06-23,0,0
2012-06-24,0,0
2012-06-25,0,0
2012-06-26,0,0
2012-06-27,0,0
2012-06-28,0,0
2012-06-29,0,0
2012-06-30,0,0
2012-07-01,0,0
2012-07-02,2e-4,0.00508
2012-07-03,0,0
2012-07-04,0.03,0.7619999999999999
2012-07-05,0,0
2012-07-06,0,0
2012-07-07,0,0
2012-07-08,0.7803,19.81962
2012-07-09,2.7004,68.59016
2012-07-10,3.1003,78.74762
2012-07-11,2e-4,0.00508
2012-07-12,1.8202,46.23308
2012-07-13,1.0508,26.690319999999996
2012-07-14,3.8307,97.29978
2012-07-15,0.0204,0.51816
2012-07-16,0,0
2012-07-17,0,0
2012-07-18,0.61,15.493999999999998
2012-07-19,0,0
2012-07-20,7.0901,180.08853999999997
2012-07-21,0.0103,0.26161999999999996
2012-07-22,0,0
2012-07-23,0,0
2012-07-24,0,0
2012-07-25,0,0
2012-07-26,0,0
2012-07-27,2e-4,0.00508
2012-07-28,0,0
2012-07-29,1e-4,0.00254
2012-07-30,0,0
2012-07-31,2e-4,0.00508
2012-08-01,3.8201,97.03054
2012-08-02,0,0
2012-08-03,0.02,0.508
2012-08-04,0.2502,6.355079999999999
2012-08-05,0.45999999999999996,11.684
2012-08-06,0.08,2.032
2012-08-07,0,0
2012-08-08,0,0
2012-08-09,0.7301,18.544539999999998
2012-08-10,0.0201,0.51054
2012-08-11,0,0
2012-08-12,0,0
2012-08-13,0.93,23.622
2012-08-14,0,0
2012-08-15,0,0
2012-08-16,0,0
2012-08-17,1.8203,46.23562
2012-08-18,0,0
2012-08-19,0,0
2012-08-20,0,0
2012-08-21,0,0
2012-08-22,0,0
2012-08-23,0,0
2012-08-24,0,0
2012-08-25,0.11030000000000001,2.8016200000000002
2012-08-26,0,0
2012-08-27,0,0
2012-08-28,0,0
2012-08-29,0,0
2012-08-30,0.08,2.032
2012-08-31,0.0401,1.0185399999999998
2012-09-01,2e-4,0.00508
2012-09-02,1.9405000000000001,49.2887
2012-09-03,0.0906,2.30124
2012-09-04,0.3904,9.91616
2012-09-05,0.4801,12.19454
2012-09-06,0.45,11.43
2012-09-07,0,0
2012-09-08,3.4506,87.64524
2012-09-09,0,0
2012-09-10,0,0
2012-09-11,0,0
2012-09-12,0,0
2012-09-13,0,0
2012-09-14,0,0
2012-09-15,0,0
2012-09-16,1e-4,0.00254
2012-09-17,3.3001,83.82253999999999
2012-09-18,0.38079999999999997,9.67232
2012-09-19,0,0
2012-09-20,0,0
2012-09-21,0,0
2012-09-22,0,0
2012-09-23,0,0
2012-09-24,0,0
2012-09-25,0,0
2012-09-26,0,0
2012-09-27,0,0
2012-09-28,2e-4,0.00508
2012-09-29,0,0
2012-09-30,0,0
2012-10-01,2.7707,70.37578
2012-10-02,5e-4,0.0127
2012-10-03,0,0
2012-10-04,0,0
2012-10-05,0,0
2012-10-06,1.3902999999999999,35.31361999999999
2012-10-07,0.0207,0.5257799999999999
2012-10-08,0.0402,1.02108
2012-10-09,0,0
2012-10-10,0,0
2012-10-11,0,0
2012-10-12,3.2903000000000002,83.57362
2012-10-13,0,0
2012-10-14,1e-4,0.00254
2012-10-15,0,0
2012-10-16,0,0
2012-10-17,0,0
2012-10-18,1.0202,25.913079999999997
2012-10-19,0,0
2012-10-20,0,0
2012-10-21,0,0
2012-10-22,0,0
2012-10-23,0,0
2012-10-24,0,0
2012-10-25,0,0
2012-10-26,4e-4,0.01016
2012-10-27,0.0904,2.2961599999999995
2012-10-28,0,0
2012-10-29,0,0
2012-10-30,0,0
2012-10-31,0,0
2012-11-01,0,0
2012-11-02,0,0
2012-11-03,0.21020000000000003,5.33908
2012-11-04,0.02,0.508
